episode - 0/1000, reward_per_episode = 0
episode - 293/1000, reward_per_episode = 1063.2043467293465
episode - 294/1000, reward_per_episode = 1879.3021206053318
episode - 295/1000, reward_per_episode = 1516.59787332099
episode - 296/1000, reward_per_episode = 1837.1041453981798
episode - 297/1000, reward_per_episode = 921.7736427272647
episode - 298/1000, reward_per_episode = 1672.462120245875
episode - 299/1000, reward_per_episode = 1672.462120245875
episode - 300/1000, reward_per_episode = 1672.462120245875
episode - 301/1000, reward_per_episode = 1531.8808873069538
episode - 302/1000, reward_per_episode = 1865.304832720494
episode - 303/1000, reward_per_episode = 1672.462120245875
episode - 304/1000, reward_per_episode = 920.2621837379826
episode - 305/1000, reward_per_episode = 1672.462120245875
episode - 306/1000, reward_per_episode = 1672.462120245875
episode - 307/1000, reward_per_episode = 1322.0994758240324
episode - 308/1000, reward_per_episode = 1672.462120245875
episode - 309/1000, reward_per_episode = 1404.8484809834993
episode - 310/1000, reward_per_episode = 2356.993309169582
episode - 311/1000, reward_per_episode = 1760.0505063388334
episode - 312/1000, reward_per_episode = 1672.462120245875
episode - 313/1000, reward_per_episode = 403.41153473921776
episode - 314/1000, reward_per_episode = 559.5107417982501
episode - 315/1000, reward_per_episode = 1672.462120245875
episode - 316/1000, reward_per_episode = 1672.462120245875
episode - 317/1000, reward_per_episode = 1672.462120245875
episode - 318/1000, reward_per_episode = 1290.44716063947
episode - 319/1000, reward_per_episode = 1870.3260235673972
episode - 320/1000, reward_per_episode = 385.3426009791983
episode - 321/1000, reward_per_episode = 679.9156129274942
episode - 322/1000, reward_per_episode = 1794.7073360963082
episode - 323/1000, reward_per_episode = 1672.462120245875
episode - 324/1000, reward_per_episode = 1672.462120245875
episode - 325/1000, reward_per_episode = 1672.462120245875
episode - 326/1000, reward_per_episode = 1849.1587477739363
episode - 327/1000, reward_per_episode = 1663.232861955064
episode - 328/1000, reward_per_episode = 1672.462120245875
episode - 329/1000, reward_per_episode = 1672.462120245875
episode - 330/1000, reward_per_episode = 1672.462120245875
episode - 331/1000, reward_per_episode = 1964.7633168644802
episode - 332/1000, reward_per_episode = 1672.462120245875
episode - 333/1000, reward_per_episode = 1672.462120245875
episode - 334/1000, reward_per_episode = 1672.462120245875
