episode - 0/10000, accumulative_reward = 0
episode - 337/10000, accumulative_reward = -87507.09772182484
episode - 338/10000, accumulative_reward = -87668.87441712148
episode - 339/10000, accumulative_reward = -87957.04271052411
episode - 340/10000, accumulative_reward = -87013.46790473233
episode - 341/10000, accumulative_reward = -87488.64482996891
episode - 342/10000, accumulative_reward = -87367.46759793107
episode - 343/10000, accumulative_reward = -87466.88831788674
episode - 344/10000, accumulative_reward = -86399.32467117795
episode - 345/10000, accumulative_reward = -86367.35049138566
episode - 346/10000, accumulative_reward = -86819.8371434389
episode - 347/10000, accumulative_reward = -87004.25483976834
episode - 348/10000, accumulative_reward = -87063.5954547495
episode - 349/10000, accumulative_reward = -85083.89191775468
episode - 350/10000, accumulative_reward = -86863.62501676605
episode - 351/10000, accumulative_reward = -87794.70752171833
episode - 352/10000, accumulative_reward = -87242.89001290275
episode - 353/10000, accumulative_reward = -87019.28951116475
episode - 354/10000, accumulative_reward = -86945.49952282618
episode - 355/10000, accumulative_reward = -87422.28404424821
episode - 356/10000, accumulative_reward = -86359.77277563894
episode - 357/10000, accumulative_reward = -86954.1716626733
episode - 358/10000, accumulative_reward = -87109.19092388843
episode - 359/10000, accumulative_reward = -87258.6570566233
episode - 360/10000, accumulative_reward = -87295.89372711707
episode - 361/10000, accumulative_reward = -87138.98976756852
episode - 362/10000, accumulative_reward = -85771.77289904715
episode - 363/10000, accumulative_reward = -84180.24712551832
episode - 364/10000, accumulative_reward = -83440.40907419386
episode - 365/10000, accumulative_reward = -82529.22426122164
episode - 366/10000, accumulative_reward = -82721.3459154377
episode - 367/10000, accumulative_reward = -80768.97473400859
episode - 368/10000, accumulative_reward = -80359.16248314582
episode - 369/10000, accumulative_reward = -81566.4641944462
episode - 370/10000, accumulative_reward = -81920.99947972047
episode - 371/10000, accumulative_reward = -82576.73571469764
episode - 372/10000, accumulative_reward = -82725.53885145961
episode - 373/10000, accumulative_reward = -82961.7031676303
episode - 374/10000, accumulative_reward = -83174.68610092309
episode - 375/10000, accumulative_reward = -83338.43112037277
episode - 376/10000, accumulative_reward = -83790.91777242601
episode - 377/10000, accumulative_reward = -84103.79229272647
episode - 378/10000, accumulative_reward = -84223.90852100341
episode - 379/10000, accumulative_reward = -84387.65354045309
episode - 380/10000, accumulative_reward = -83386.22257948565
episode - 381/10000, accumulative_reward = -84393.00354432747
episode - 382/10000, accumulative_reward = -84574.78196656812
episode - 383/10000, accumulative_reward = -84505.78582252027
episode - 384/10000, accumulative_reward = -82698.27690303033
episode - 385/10000, accumulative_reward = -84206.10774973597
episode - 386/10000, accumulative_reward = -83210.73627378159
episode - 387/10000, accumulative_reward = -83724.19859214335
episode - 388/10000, accumulative_reward = -84391.86680228823
episode - 389/10000, accumulative_reward = -82946.15752062493
episode - 390/10000, accumulative_reward = -84700.85250216148
episode - 391/10000, accumulative_reward = -82870.53821808928
episode - 392/10000, accumulative_reward = -81690.24311450949
episode - 393/10000, accumulative_reward = -82194.28057631904
episode - 394/10000, accumulative_reward = -83491.15869096505
episode - 395/10000, accumulative_reward = -82200.77342966307
episode - 396/10000, accumulative_reward = -80993.27134721629
episode - 397/10000, accumulative_reward = -79526.73022971598
episode - 398/10000, accumulative_reward = -79378.09207843982
episode - 399/10000, accumulative_reward = -79115.67731989082
episode - 400/10000, accumulative_reward = -79012.7498467333
episode - 401/10000, accumulative_reward = -78753.41272882475
episode - 402/10000, accumulative_reward = -78915.87799033924
episode - 403/10000, accumulative_reward = -79171.59127468496
episode - 404/10000, accumulative_reward = -77401.64334166342
episode - 405/10000, accumulative_reward = -76385.47007656223
episode - 406/10000, accumulative_reward = -76896.32952457198
episode - 407/10000, accumulative_reward = -75772.89713044942
episode - 408/10000, accumulative_reward = -74165.21015014783
