episode - 639/10000, loss = 5567.9296875
episode - 640/10000, loss = 59.37178421020508
episode - 641/10000, loss = 28628.8359375
episode - 642/10000, loss = 39093.984375
episode - 643/10000, loss = 1959.6590576171875
episode - 644/10000, loss = 6171.95751953125
episode - 645/10000, loss = 220.3546905517578
episode - 646/10000, loss = 1153.905029296875
episode - 647/10000, loss = 61.3663215637207
episode - 648/10000, loss = 148.66983032226562
episode - 649/10000, loss = 3.3355445861816406
episode - 650/10000, loss = 1362.6322021484375
episode - 651/10000, loss = 7.626274108886719
episode - 652/10000, loss = 9393.1162109375
episode - 653/10000, loss = 1005.6808471679688
episode - 654/10000, loss = 142.6243133544922
episode - 655/10000, loss = 3485.70947265625
episode - 656/10000, loss = 64.09109497070312
episode - 657/10000, loss = 83.86319732666016
episode - 658/10000, loss = 19638.560546875
episode - 659/10000, loss = 17419.34375
episode - 660/10000, loss = 791.4596557617188
episode - 661/10000, loss = 9.129483222961426
episode - 662/10000, loss = 1384.7813720703125
episode - 663/10000, loss = 961.4044799804688
episode - 664/10000, loss = 6312.0791015625
episode - 665/10000, loss = 9200.2666015625
episode - 666/10000, loss = 757.5916137695312
episode - 667/10000, loss = 1404.507568359375
episode - 668/10000, loss = 72.01608276367188
episode - 669/10000, loss = 3270.887451171875
episode - 670/10000, loss = 1574.919677734375
episode - 671/10000, loss = 335.0788269042969
episode - 672/10000, loss = 80.3645248413086
