episode - 431/10000, epsilon = 0.009998671593271896
episode - 432/10000, epsilon = 0.009998671593271896
episode - 433/10000, epsilon = 0.009998671593271896
episode - 434/10000, epsilon = 0.009998671593271896
episode - 435/10000, epsilon = 0.009998671593271896
episode - 436/10000, epsilon = 0.009998671593271896
episode - 437/10000, epsilon = 0.009998671593271896
episode - 438/10000, epsilon = 0.009998671593271896
episode - 439/10000, epsilon = 0.009998671593271896
episode - 440/10000, epsilon = 0.009998671593271896
episode - 441/10000, epsilon = 0.009998671593271896
episode - 442/10000, epsilon = 0.009998671593271896
episode - 443/10000, epsilon = 0.009998671593271896
episode - 444/10000, epsilon = 0.009998671593271896
episode - 445/10000, epsilon = 0.009998671593271896
episode - 446/10000, epsilon = 0.009998671593271896
episode - 447/10000, epsilon = 0.009998671593271896
episode - 448/10000, epsilon = 0.009998671593271896
episode - 449/10000, epsilon = 0.009998671593271896
episode - 450/10000, epsilon = 0.009998671593271896
episode - 451/10000, epsilon = 0.009998671593271896
episode - 452/10000, epsilon = 0.009998671593271896
episode - 453/10000, epsilon = 0.009998671593271896
episode - 454/10000, epsilon = 0.009998671593271896
episode - 455/10000, epsilon = 0.009998671593271896
episode - 456/10000, epsilon = 0.009998671593271896
episode - 457/10000, epsilon = 0.009998671593271896
episode - 458/10000, epsilon = 0.009998671593271896
episode - 459/10000, epsilon = 0.009998671593271896
episode - 460/10000, epsilon = 0.009998671593271896
episode - 461/10000, epsilon = 0.009998671593271896
episode - 462/10000, epsilon = 0.009998671593271896
episode - 463/10000, epsilon = 0.009998671593271896
episode - 464/10000, epsilon = 0.009998671593271896
episode - 465/10000, epsilon = 0.009998671593271896
episode - 466/10000, epsilon = 0.009998671593271896
episode - 467/10000, epsilon = 0.009998671593271896
episode - 468/10000, epsilon = 0.009998671593271896
episode - 469/10000, epsilon = 0.009998671593271896
episode - 470/10000, epsilon = 0.009998671593271896
episode - 471/10000, epsilon = 0.009998671593271896
episode - 472/10000, epsilon = 0.009998671593271896
episode - 473/10000, epsilon = 0.009998671593271896
episode - 474/10000, epsilon = 0.009998671593271896
episode - 475/10000, epsilon = 0.009998671593271896
episode - 476/10000, epsilon = 0.009998671593271896
episode - 477/10000, epsilon = 0.009998671593271896
episode - 478/10000, epsilon = 0.009998671593271896
episode - 479/10000, epsilon = 0.009998671593271896
episode - 480/10000, epsilon = 0.009998671593271896
episode - 481/10000, epsilon = 0.009998671593271896
episode - 482/10000, epsilon = 0.009998671593271896
episode - 483/10000, epsilon = 0.009998671593271896
episode - 484/10000, epsilon = 0.009998671593271896
episode - 485/10000, epsilon = 0.009998671593271896
episode - 486/10000, epsilon = 0.009998671593271896
episode - 487/10000, epsilon = 0.009998671593271896
episode - 488/10000, epsilon = 0.009998671593271896
episode - 489/10000, epsilon = 0.009998671593271896
episode - 490/10000, epsilon = 0.009998671593271896
episode - 491/10000, epsilon = 0.009998671593271896
episode - 492/10000, epsilon = 0.009998671593271896
episode - 493/10000, epsilon = 0.009998671593271896
episode - 494/10000, epsilon = 0.009998671593271896
episode - 495/10000, epsilon = 0.009998671593271896
episode - 496/10000, epsilon = 0.009998671593271896
episode - 497/10000, epsilon = 0.009998671593271896
episode - 498/10000, epsilon = 0.009998671593271896
episode - 499/10000, epsilon = 0.009998671593271896
episode - 500/10000, epsilon = 0.009998671593271896
episode - 501/10000, epsilon = 0.009998671593271896
episode - 502/10000, epsilon = 0.009998671593271896
episode - 503/10000, epsilon = 0.009998671593271896
episode - 504/10000, epsilon = 0.009998671593271896
episode - 505/10000, epsilon = 0.009998671593271896
episode - 506/10000, epsilon = 0.009998671593271896
episode - 507/10000, epsilon = 0.009998671593271896
episode - 508/10000, epsilon = 0.009998671593271896
episode - 509/10000, epsilon = 0.009998671593271896
episode - 510/10000, epsilon = 0.009998671593271896
episode - 511/10000, epsilon = 0.009998671593271896
episode - 512/10000, epsilon = 0.009998671593271896
episode - 513/10000, epsilon = 0.009998671593271896
episode - 514/10000, epsilon = 0.009998671593271896
episode - 515/10000, epsilon = 0.009998671593271896
episode - 516/10000, epsilon = 0.009998671593271896
episode - 517/10000, epsilon = 0.009998671593271896
episode - 518/10000, epsilon = 0.009998671593271896
episode - 519/10000, epsilon = 0.009998671593271896
episode - 520/10000, epsilon = 0.009998671593271896
