episode - 0/40000, reward_per_episode = 0
episode - 609/40000, reward_per_episode = 133.5
episode - 610/40000, reward_per_episode = 107.5
episode - 611/40000, reward_per_episode = 107.5
episode - 612/40000, reward_per_episode = 107.5
episode - 613/40000, reward_per_episode = 107.5
episode - 614/40000, reward_per_episode = 107.5
episode - 615/40000, reward_per_episode = 120.5
episode - 616/40000, reward_per_episode = 120.5
episode - 617/40000, reward_per_episode = 112.5
episode - 618/40000, reward_per_episode = 68.5
episode - 619/40000, reward_per_episode = 62.5
episode - 620/40000, reward_per_episode = 104.0
episode - 621/40000, reward_per_episode = 107.5
episode - 622/40000, reward_per_episode = 107.5
episode - 623/40000, reward_per_episode = 107.5
episode - 624/40000, reward_per_episode = 120.5
episode - 625/40000, reward_per_episode = 107.5
episode - 626/40000, reward_per_episode = 107.5
episode - 627/40000, reward_per_episode = 93.5
episode - 628/40000, reward_per_episode = 106.0
episode - 629/40000, reward_per_episode = 108.0
episode - 630/40000, reward_per_episode = 107.5
episode - 631/40000, reward_per_episode = 127.0
