episode - 0/40000, accumulative_reward = 0
episode - 523/40000, accumulative_reward = 41190.5
episode - 524/40000, accumulative_reward = 41304.5
episode - 525/40000, accumulative_reward = 41412.0
episode - 526/40000, accumulative_reward = 41519.5
episode - 527/40000, accumulative_reward = 41607.0
episode - 528/40000, accumulative_reward = 41714.5
episode - 529/40000, accumulative_reward = 41822.0
episode - 530/40000, accumulative_reward = 41929.5
episode - 531/40000, accumulative_reward = 42043.5
episode - 532/40000, accumulative_reward = 42103.0
episode - 533/40000, accumulative_reward = 42210.5
episode - 534/40000, accumulative_reward = 42324.5
episode - 535/40000, accumulative_reward = 42432.0
episode - 536/40000, accumulative_reward = 42539.5
episode - 537/40000, accumulative_reward = 42615.5
episode - 538/40000, accumulative_reward = 42667.5
episode - 539/40000, accumulative_reward = 42788.0
episode - 540/40000, accumulative_reward = 42895.5
episode - 541/40000, accumulative_reward = 43016.0
episode - 542/40000, accumulative_reward = 43113.0
episode - 543/40000, accumulative_reward = 43228.0
episode - 544/40000, accumulative_reward = 43280.0
episode - 545/40000, accumulative_reward = 43402.5
episode - 546/40000, accumulative_reward = 43510.0
episode - 547/40000, accumulative_reward = 43630.5
episode - 548/40000, accumulative_reward = 43738.0
episode - 549/40000, accumulative_reward = 43853.0
episode - 550/40000, accumulative_reward = 43960.5
episode - 551/40000, accumulative_reward = 44068.0
episode - 552/40000, accumulative_reward = 44175.5
episode - 553/40000, accumulative_reward = 44283.0
episode - 554/40000, accumulative_reward = 44390.5
episode - 555/40000, accumulative_reward = 44498.0
episode - 556/40000, accumulative_reward = 44605.5
episode - 557/40000, accumulative_reward = 44717.5
episode - 558/40000, accumulative_reward = 44825.0
episode - 559/40000, accumulative_reward = 44904.0
episode - 560/40000, accumulative_reward = 45011.5
episode - 561/40000, accumulative_reward = 45116.5
episode - 562/40000, accumulative_reward = 45234.0
episode - 563/40000, accumulative_reward = 45361.5
episode - 564/40000, accumulative_reward = 45469.0
episode - 565/40000, accumulative_reward = 45576.5
episode - 566/40000, accumulative_reward = 45684.0
episode - 567/40000, accumulative_reward = 45746.5
episode - 568/40000, accumulative_reward = 45844.0
episode - 569/40000, accumulative_reward = 45951.5
episode - 570/40000, accumulative_reward = 46059.0
episode - 571/40000, accumulative_reward = 46166.5
episode - 572/40000, accumulative_reward = 46281.5
episode - 573/40000, accumulative_reward = 46389.0
episode - 574/40000, accumulative_reward = 46511.5
episode - 575/40000, accumulative_reward = 46625.5
episode - 576/40000, accumulative_reward = 46765.5
episode - 577/40000, accumulative_reward = 46886.0
episode - 578/40000, accumulative_reward = 47019.5
episode - 579/40000, accumulative_reward = 47127.0
episode - 580/40000, accumulative_reward = 47234.5
episode - 581/40000, accumulative_reward = 47301.5
episode - 582/40000, accumulative_reward = 47356.5
episode - 583/40000, accumulative_reward = 47441.5
episode - 584/40000, accumulative_reward = 47549.0
episode - 585/40000, accumulative_reward = 47676.5
episode - 586/40000, accumulative_reward = 47784.0
episode - 587/40000, accumulative_reward = 47904.5
episode - 588/40000, accumulative_reward = 48012.0
episode - 589/40000, accumulative_reward = 48119.5
episode - 590/40000, accumulative_reward = 48204.5
episode - 591/40000, accumulative_reward = 48276.5
