episode - 0/10000, reward_per_episode = 0
episode - 516/10000, reward_per_episode = 408.4496721613391
episode - 517/10000, reward_per_episode = 361.95444572928875
episode - 518/10000, reward_per_episode = 100.0
episode - 519/10000, reward_per_episode = 35.02104927304967
episode - 520/10000, reward_per_episode = 100.0
episode - 521/10000, reward_per_episode = 622.6915187225254
episode - 522/10000, reward_per_episode = 262.341459086418
episode - 523/10000, reward_per_episode = 368.82808486441235
episode - 524/10000, reward_per_episode = 321.2354937109021
episode - 525/10000, reward_per_episode = 35.02104927304967
episode - 526/10000, reward_per_episode = 100.0
episode - 527/10000, reward_per_episode = 346.53873047887254
episode - 528/10000, reward_per_episode = 89.02452317929996
episode - 529/10000, reward_per_episode = 35.02104927304967
episode - 530/10000, reward_per_episode = 91.05119917510156
episode - 531/10000, reward_per_episode = 100.0
episode - 532/10000, reward_per_episode = 1003.2018259438117
episode - 533/10000, reward_per_episode = 509.50860311041083
episode - 534/10000, reward_per_episode = 2138.2566187918023
episode - 535/10000, reward_per_episode = 100.0
episode - 536/10000, reward_per_episode = 35.02104927304967
episode - 537/10000, reward_per_episode = 301.8585592042996
episode - 538/10000, reward_per_episode = 161.11025509279784
episode - 539/10000, reward_per_episode = 652.5010085012109
episode - 540/10000, reward_per_episode = 294.4003745317531
episode - 541/10000, reward_per_episode = 334.5477885384131
episode - 542/10000, reward_per_episode = 275.11978909375387
episode - 543/10000, reward_per_episode = 361.95444572928875
episode - 544/10000, reward_per_episode = 100.0
episode - 545/10000, reward_per_episode = 35.02104927304967
