episode - 0/10000, accumulative_reward = 0
episode - 523/10000, accumulative_reward = 680274.1277215494
episode - 524/10000, accumulative_reward = 681197.3742145179
episode - 525/10000, accumulative_reward = 683489.1455626776
episode - 526/10000, accumulative_reward = 685525.9123625972
episode - 527/10000, accumulative_reward = 687285.962868936
episode - 528/10000, accumulative_reward = 688958.4249891819
episode - 529/10000, accumulative_reward = 690630.8871094278
episode - 530/10000, accumulative_reward = 692303.3492296737
episode - 531/10000, accumulative_reward = 693697.6871214932
episode - 532/10000, accumulative_reward = 695836.4948384681
episode - 533/10000, accumulative_reward = 697596.545344807
episode - 534/10000, accumulative_reward = 699269.0074650529
