episode - 554/10000, loss = 547.2962646484375
episode - 555/10000, loss = 823.8834228515625
episode - 556/10000, loss = 121.50045013427734
episode - 557/10000, loss = 194.58570861816406
episode - 558/10000, loss = 21.861663818359375
episode - 559/10000, loss = 113.54582977294922
episode - 560/10000, loss = 122.04246520996094
episode - 561/10000, loss = 79.83367156982422
episode - 562/10000, loss = 215.2074737548828
episode - 563/10000, loss = 7.4189863204956055
episode - 564/10000, loss = 241.3531036376953
episode - 565/10000, loss = 269.7690734863281
episode - 566/10000, loss = 0.19307546317577362
episode - 567/10000, loss = 51.12388610839844
episode - 568/10000, loss = 237.15487670898438
episode - 569/10000, loss = 345.16119384765625
episode - 570/10000, loss = 0.944819450378418
episode - 571/10000, loss = 617.8619995117188
episode - 572/10000, loss = 436.4159851074219
episode - 573/10000, loss = 415.5232849121094
episode - 574/10000, loss = 173.6109161376953
episode - 575/10000, loss = 92.58038330078125
episode - 576/10000, loss = 46.93727111816406
episode - 577/10000, loss = 305.5235900878906
episode - 578/10000, loss = 233.376953125
episode - 579/10000, loss = 1.3983556032180786
episode - 580/10000, loss = 205.56454467773438
episode - 581/10000, loss = 211.8181610107422
episode - 582/10000, loss = 472.3183898925781
episode - 583/10000, loss = 0.027376575395464897
episode - 584/10000, loss = 246.18946838378906
episode - 585/10000, loss = 68.18244171142578
episode - 586/10000, loss = 450.6453552246094
episode - 587/10000, loss = 189.53370666503906
episode - 588/10000, loss = 198.29490661621094
episode - 589/10000, loss = 12.745095252990723
episode - 590/10000, loss = 17.491558074951172
episode - 591/10000, loss = 2671.529052734375
episode - 592/10000, loss = 48.37958526611328
episode - 593/10000, loss = 62.316078186035156
episode - 594/10000, loss = 134.08615112304688
episode - 595/10000, loss = 28.653860092163086
episode - 596/10000, loss = 16.474258422851562
episode - 597/10000, loss = 22.268203735351562
episode - 598/10000, loss = 0.10321685671806335
episode - 599/10000, loss = 30.2254581451416
episode - 600/10000, loss = 286.9574890136719
episode - 601/10000, loss = 301.2257995605469
episode - 602/10000, loss = 9.277358055114746
episode - 603/10000, loss = 19.705204010009766
episode - 604/10000, loss = 238.5679931640625
episode - 605/10000, loss = 1521.5950927734375
episode - 606/10000, loss = 1508.167236328125
episode - 607/10000, loss = 195.66294860839844
episode - 608/10000, loss = 161.08743286132812
episode - 609/10000, loss = 298.9521789550781
episode - 610/10000, loss = 99.96696472167969
episode - 611/10000, loss = 433.95263671875
episode - 612/10000, loss = 542.215576171875
episode - 613/10000, loss = 13.047381401062012
episode - 614/10000, loss = 144.33253479003906
episode - 615/10000, loss = 477.44927978515625
episode - 616/10000, loss = 700.6328735351562
episode - 617/10000, loss = 146.03811645507812
episode - 618/10000, loss = 53.630043029785156
episode - 619/10000, loss = 8.0927734375
episode - 620/10000, loss = 16.423078536987305
episode - 621/10000, loss = 16498.154296875
episode - 622/10000, loss = 98.11893463134766
episode - 623/10000, loss = 28.362417221069336
episode - 624/10000, loss = 213.44163513183594
episode - 625/10000, loss = 21.30667495727539
episode - 626/10000, loss = 0.04469118267297745
episode - 627/10000, loss = 297.6838684082031
episode - 628/10000, loss = 645.4027099609375
episode - 629/10000, loss = 576.1821899414062
episode - 630/10000, loss = 388.3072509765625
episode - 631/10000, loss = 633.9999389648438
episode - 632/10000, loss = 73.60726928710938
episode - 633/10000, loss = 695.5574951171875
episode - 634/10000, loss = 77.47225189208984
episode - 635/10000, loss = 342.24688720703125
episode - 636/10000, loss = 129.3805389404297
episode - 637/10000, loss = 124.04838562011719
episode - 638/10000, loss = 88.87210845947266
episode - 639/10000, loss = 1430.47265625
episode - 640/10000, loss = 71.88671875
episode - 641/10000, loss = 50.756492614746094
episode - 642/10000, loss = 54.51949691772461
episode - 643/10000, loss = 201.15109252929688
episode - 644/10000, loss = 282.9818115234375
episode - 645/10000, loss = 3.0244669914245605
episode - 646/10000, loss = 251.0536651611328
episode - 647/10000, loss = 5.684451103210449
episode - 648/10000, loss = 4.547685146331787
episode - 649/10000, loss = 313.8493347167969
episode - 650/10000, loss = 56.743343353271484
episode - 651/10000, loss = 40.53660583496094
episode - 652/10000, loss = 412.9714660644531
episode - 653/10000, loss = 97.11891174316406
episode - 654/10000, loss = 20.25436019897461
episode - 655/10000, loss = 183.29397583007812
episode - 656/10000, loss = 521.5910034179688
episode - 657/10000, loss = 8.350982666015625
episode - 658/10000, loss = 3116.826904296875
episode - 659/10000, loss = 281.4981994628906
episode - 660/10000, loss = 61.13440704345703
episode - 661/10000, loss = 8.287431716918945
episode - 662/10000, loss = 88.22604370117188
episode - 663/10000, loss = 2.4327473640441895
